epoch,train_r1_to_r2,val_r1_to_r2,train_r2_to_r1,val_r2_to_r1
1,0.001262350947446857,0.00016494779116996773,0.001378934269226152,0.000120805921754681
2,0.00012718359187407704,0.00022095107777538348,0.00012344517923904675,0.0004449650171279375
3,0.00014460347801411035,6.466946938509901e-05,0.00011897438163000532,4.980509368820372e-05
4,0.0001319661698335643,0.00035207408120409034,0.0001328041035569199,0.00039727261915983517
5,9.653850147504215e-05,0.0006619733618691146,8.789553339848342e-05,0.00012548540058671687
6,0.00010249101752840798,0.0001352525382107884,0.00011928844043472936,5.0970250097690247e-05
7,0.00012156663203025118,4.2646957623145106e-05,9.919361364768986e-05,5.801987720829225e-05
8,9.295401847707861e-05,4.581489620435679e-05,8.455179117741321e-05,3.486151187959821e-05
9,8.005913310292538e-05,0.0001814610704040744,8.229005552592357e-05,7.417244839360842e-05
10,7.03450378335058e-05,0.00023376261616453567,6.282214942368296e-05,0.00018222607943652275
11,7.901379185777107e-05,0.0001184315353421713,8.307335079116148e-05,5.2353151751995774e-05
12,6.847100859065639e-05,8.7917586360887e-05,6.191099209318668e-05,4.875919337940345e-05
13,5.984131835341516e-05,5.0389033276587725e-05,5.223243206317648e-05,4.7949734371100854e-05
14,5.75360344444713e-05,8.588406352809754e-05,5.19814520972888e-05,7.946519593931544e-05
15,4.968288479026105e-05,3.179158015047172e-05,5.5342228404804896e-05,2.373696347325565e-05
16,5.438384837158846e-05,3.8312655306071974e-05,4.454808198051068e-05,5.809635034410701e-05
17,6.0180310655880404e-05,5.273229351364627e-05,6.103646572160152e-05,9.923527042181897e-05
18,4.045001388620241e-05,5.349614206797738e-05,4.217482640576178e-05,5.0479265136884204e-05
19,3.7272296460497825e-05,8.236651685402482e-05,3.679458216761189e-05,3.782201890447011e-05
20,4.144786899991423e-05,0.00010269628873342002,3.552278404839249e-05,0.00010121429443884432
21,4.230285000561712e-05,0.00019461075342925533,3.692418059539325e-05,8.151667342255158e-05
22,3.954326824790949e-05,3.546098324310448e-05,3.712504584643039e-05,6.144162105148117e-05
23,3.594632276659452e-05,3.6500613829530824e-05,3.072930132038804e-05,3.996908331568453e-05
24,4.151054753052708e-05,0.00010041709411984348,3.713577987459664e-05,7.244065777833422e-05
25,3.343347121431788e-05,2.669254680935113e-05,2.782034076776363e-05,1.0588914049048052e-05
26,3.0084915299997753e-05,4.5763574977469515e-05,2.7370134564515767e-05,2.1488071775375104e-05
27,3.881463418364227e-05,0.00010967408978066654,2.9890131041892168e-05,2.617482378085771e-05
28,2.8130388274081516e-05,5.122445516611392e-05,2.98270468195932e-05,2.5603165470654077e-05
29,3.302551548102232e-05,2.409776176619391e-05,2.914247050370331e-05,1.984567307419861e-05
30,3.142522143346647e-05,3.468622435320867e-05,2.0827356993585913e-05,2.5992076152018557e-05
31,2.675780398933432e-05,3.8171540354039966e-05,3.03331018593275e-05,5.9191082425745757e-05
32,2.692612478542388e-05,3.488438314703597e-05,1.7110878642003996e-05,1.690301985722819e-05
33,2.990801496775738e-05,2.077221545602827e-05,2.548946257532783e-05,4.967286867565922e-05
34,2.3092818331700876e-05,2.216472666430268e-05,2.0950597438203866e-05,1.1511207884147868e-05
35,3.096719604370656e-05,2.3319812276078703e-05,2.4368856515768495e-05,1.1556293800970947e-05
36,2.8834947806241178e-05,1.873416396142138e-05,1.9697918692468966e-05,1.7054452144998786e-05
37,1.925464181251291e-05,2.0906142560065467e-05,2.1613973837973343e-05,1.933188330403194e-05
38,2.612167905633145e-05,2.658367609873661e-05,1.9958880475435482e-05,1.0701137881016844e-05
39,2.3273719662786177e-05,3.720883367870036e-05,1.660812250768338e-05,1.2198969689423541e-05
40,2.2800667266399963e-05,1.8082337804543738e-05,1.853170799449525e-05,5.066382173212407e-05
41,2.344901041156687e-05,1.2386837643505862e-05,1.6418827858938903e-05,1.6463208766606617e-05
