epoch,train_r1_to_r2,val_r1_to_r2,train_r2_to_r1,val_r2_to_r1
42,1.8343811663135988e-05,3.586368867607754e-05,1.6292302280785424e-05,3.0143617958837776e-05
43,2.336344355977972e-05,1.7625168608474826e-05,1.8603935379647776e-05,1.1073544797278485e-05
44,1.9164321925506365e-05,1.4143203789361144e-05,1.7452319208484564e-05,1.6218140138576297e-05
45,2.6076476516879695e-05,1.0880637453700896e-05,1.9076735935689408e-05,4.897849837051377e-06
46,1.60048797349396e-05,3.442576847618864e-05,1.1440107870254957e-05,4.3169324550146896e-05
47,2.028224018027769e-05,4.184922860930579e-05,1.5153042435249014e-05,4.6718796028824504e-05
48,1.651051869620722e-05,2.8645499603916673e-05,1.455018528140192e-05,1.1093118524624923e-05
49,1.580808629661924e-05,2.2123587453335154e-05,1.549072834319991e-05,2.345019197955666e-05
50,2.0033974046195585e-05,6.37986810330886e-05,1.330845454193536e-05,1.609337216589721e-05
51,1.4824632294259772e-05,4.083499950457754e-05,1.4944395788905183e-05,7.756584618247722e-05
52,1.9351350278841632e-05,2.0345091946424242e-05,1.4972446674910008e-05,1.0662265585593484e-05
53,1.3639904617950194e-05,1.3143798408849279e-05,1.1754431374141468e-05,9.882850862391487e-06
54,1.5977164513642976e-05,2.1312297632197888e-05,1.633834983927972e-05,6.9701920521617225e-06
55,1.754091041512646e-05,1.7613616318139602e-05,1.1600488467119149e-05,2.6068319464090508e-05
56,1.4629246679409328e-05,1.60559794049008e-05,1.4603500584356346e-05,1.938099902482853e-05
57,1.7558019373063213e-05,4.583842750509241e-05,1.236483305807166e-05,2.8194545606942372e-05
58,1.342125689413958e-05,3.331666181222726e-05,1.2209357191284047e-05,1.0181797399721346e-05
59,1.454361894550926e-05,1.2572773338972035e-05,1.1080107754311903e-05,8.981115426501433e-06
60,1.5445467071674132e-05,2.2764360326210425e-05,1.2892549333720423e-05,1.4895596793895512e-05
61,1.5087361344467024e-05,1.6513864772364007e-05,1.307934158513842e-05,1.5741954020810153e-05
62,1.2616664786866697e-05,1.1186657697440491e-05,1.1109500193959866e-05,1.12797622895581e-05
63,1.4650693563111092e-05,1.6572377550188802e-05,1.4139290093320359e-05,1.4720061430199741e-05
64,1.2647466923691773e-05,1.3228835810803837e-05,1.0685993418605075e-05,3.618626851675799e-05
65,1.292326422186302e-05,2.2090925419749454e-05,1.1193637715442723e-05,8.286540308717474e-06
66,1.1396992131289268e-05,8.977002737862807e-06,1.0687163731894592e-05,7.482910873755939e-06
67,1.3818601029982098e-05,3.113706080345152e-05,1.51292188073867e-05,4.752315954201735e-06
68,1.2361309431492562e-05,1.4255037680116829e-05,9.982348160931317e-06,1.4127561566315957e-05
69,1.2725770840973134e-05,5.4823270551312406e-06,1.0193818666271937e-05,1.7316245536063915e-05
70,1.184163940143828e-05,1.5487092241528444e-05,1.1051127216750697e-05,3.0233793486146096e-05
71,1.2323343779781264e-05,1.8919476912872468e-05,1.0082227727823248e-05,2.239098310902981e-05
72,1.141989884394946e-05,2.087218342926555e-05,1.2820771041747106e-05,1.9388195693993893e-06
73,1.1271754294231958e-05,1.0072209134909363e-05,7.95076094063027e-06,1.2502794617125337e-05
74,1.2959492467984863e-05,2.2042406865749605e-05,9.177307725568328e-06,2.2718307653641595e-05
75,1.1067451740718391e-05,7.613231743135304e-06,1.2510241171913517e-05,6.445278089887899e-06
76,1.2393741550679294e-05,4.1399558763167044e-05,7.91236752251284e-06,2.6396365423611963e-05
77,1.3305417852675841e-05,9.678357447246897e-06,1.2660841644354214e-05,1.0846469231925153e-05
78,1.093852123668524e-05,3.300964695250625e-05,7.487854947362366e-06,1.1063009368422635e-05
79,1.0513135637543107e-05,1.1114123490373533e-05,9.16459108411449e-06,1.0475505748719134e-05
80,1.0301849795831199e-05,1.0021334507042894e-05,8.592333256630845e-06,1.064769427399852e-05
81,1.3163807479326795e-05,2.48803777436961e-05,1.0054735873598143e-05,6.9950597254337855e-06
82,1.0447112074830663e-05,6.351516243999608e-06,1.0186622111988467e-05,1.4328212375626116e-05
83,1.0375779729283628e-05,8.098962650495065e-06,8.305191234497043e-06,1.684350849598336e-06
84,1.1984129238884638e-05,1.2252670507111863e-05,1.022685050759525e-05,2.599542268417652e-05
85,1.0528373997188933e-05,5.221067168553863e-06,7.116810439008908e-06,1.50444387201082e-05
86,1.0453869683548004e-05,1.4829042690823315e-05,1.0812008621025457e-05,1.4373894531190114e-05
87,1.1458061142896982e-05,1.155861142548502e-05,7.624387888945936e-06,6.61120019203179e-06
88,1.0519069143401849e-05,2.292530748769534e-05,1.110513621539548e-05,1.5315104737779547e-06
89,1.2503587846253637e-05,9.137082946724651e-06,8.410386373206559e-06,6.548541396763799e-06
90,7.752442978683952e-06,1.9133100132811315e-05,6.425095776359325e-06,4.5086999455875505e-05
91,1.0708883601829894e-05,1.0522576823339997e-05,1.0583005783027464e-05,1.8567578860841293e-05
92,1.2194446078720622e-05,2.219465199120851e-05,6.602465220810511e-06,4.232884978183411e-06
93,1.0535245483227731e-05,4.1428969483121716e-05,9.495802698627339e-06,1.3392331153709722e-05
94,1.1819589452809207e-05,3.056385846822214e-05,1.0386089522809698e-05,6.048940163890045e-06
95,9.708832834061978e-06,2.4376196200378496e-05,5.633758633899095e-06,1.0286859712638887e-05
96,7.950483015944726e-06,4.5295494123356365e-06,8.047295953071897e-06,1.2782644577727093e-05
97,1.012232831028275e-05,6.81851981555935e-06,7.2870455101856594e-06,1.4381420210063843e-05
98,9.013606861821634e-06,9.70295139509568e-06,6.7742129513837436e-06,8.73961448169026e-06
99,1.032959178523546e-05,8.391380333705456e-06,1.01592949685978e-05,2.0785231155820596e-06
100,9.89506585128557e-06,1.2691409201393906e-05,1.0134219532222587e-05,1.7460165775780612e-06
